file,BLEU,ROUGE_L,ChrF,CodeBLEU,Levenshtein,CodeBERTScore,EmbeddingCosine,CloneJaccard
1.cc,71.92286337998581,77.10843373493975,81.36977911627132,87.01027700023725,599,96.53618931770325,0.9982947111129761,63.20754716981132
10.cc,37.10057497356448,37.37623762376237,59.661254076618505,65.92566571173143,2685,91.5949285030365,0.9952815771102905,32.44274809160305
100.cc,2.9389433461068646,19.524316648917285,25.795086670938595,30.567454110623466,19262,92.04769730567932,0.9975424408912659,21.076233183856502
101.cc,35.574722958029305,27.17584369449378,53.07711303097064,70.13911910768468,3972,86.88071966171265,0.9925304055213928,25.15527950310559
102.cc,17.335530202997226,21.1802748585287,40.31911540969715,40.301156598429806,5163,90.89726209640503,0.993506669998169,19.435736677115987
103.cc,31.105613070090826,28.837209302325583,55.57235979080185,58.57062158085179,3248,89.74066972732544,0.9952126145362854,34.82142857142857
104.cc,39.23891712731783,36.27353815659068,57.59594015693246,69.35940212763046,3322,92.85199046134949,0.9968093633651733,28.308823529411764
105.cc,50.63050582012683,45.13715710723192,71.62523161715367,78.5049694773923,2437,91.49143695831299,0.9965250492095947,48.717948717948715
106.cc,33.06130539025208,31.905465288035455,59.02708123502368,73.68982743241943,5153,89.16795253753662,0.9946008920669556,42.731277533039645
107.cc,40.96788570330112,36.87002652519894,59.16888175112681,67.31885606409939,2522,90.4504656791687,0.9931190013885498,42.05128205128205
108.cc,29.5086048169842,32.39625167336011,52.988452436528455,57.356216687214115,2739,86.82979345321655,0.9938589334487915,31.19266055045872
109.cc,34.25944210206603,36.56716417910448,50.5133268278066,55.69753047860503,4036,84.71767902374268,0.978836178779602,30.93220338983051
11.cc,48.25048124702129,50.4983388704319,64.58888761647262,75.02889310823345,1640,92.73780584335327,0.9976597428321838,46.98795180722892
110.cc,38.225508430177705,42.857142857142854,56.64451002466399,64.81239224054973,1731,92.88938641548157,0.9978300333023071,41.01123595505618
111.cc,26.70854429505506,33.53884093711467,48.2106485195928,51.348732936739715,2982,89.61624503135681,0.9930998086929321,31.944444444444443
112.cc,23.408880605733604,25.940138142747504,44.69942976111359,47.83950943938544,5352,87.53395080566406,0.9952660202980042,33.666666666666664
113.cc,61.32585451757858,64.0909090909091,70.13562876212438,78.00674160081994,771,95.43206095695496,0.9973924160003662,33.92857142857143
114.cc,44.21588376511388,40.2948402948403,61.223938796764266,72.33197130596798,2632,95.18473148345947,0.9969983696937561,32.44274809160305
115.cc,53.29865146957522,50.23041474654379,65.942361583435,75.00548536050881,2397,95.34026384353638,0.9982569217681885,44.93392070484582
116.cc,52.77368848993679,54.14680648236415,65.76538008043804,74.87621627874077,2843,94.30452585220337,0.9967859983444214,39.338235294117645
117.cc,59.167658138841254,56.96428571428571,68.65933506671745,79.9158979539656,2783,94.04858350753784,0.9961978197097778,40.55944055944056
118.cc,48.04402178976204,47.61904761904761,59.373649514207514,63.35775249757481,3837,92.87467002868652,0.9967935681343079,39.29824561403509
119.cc,39.43078607674581,37.62662807525325,53.07193000838818,48.95901574567227,5030,92.02550649642944,0.9972794055938721,41.29032258064516
12.cc,45.92442354681346,51.76056338028169,66.46380070807999,74.7601562973873,1359,92.89615154266357,0.9979975819587708,48.148148148148145
120.cc,45.48262643658875,37.97909407665506,61.93644721657516,64.16887513070915,4032,92.77870059013367,0.9979400038719177,42.14046822742475
121.cc,42.57771171500564,34.6182917611489,57.995171262259326,66.90802749930182,4624,94.43863034248352,0.9987187385559082,35.16819571865443
122.cc,32.35542518393335,52.919708029197075,53.53708402579229,55.091928832801585,1639,92.999666929245,0.9929027557373047,41.911764705882355
123.cc,55.194805699372324,58.531073446327696,68.52738762532066,81.77986398212256,1962,94.63728070259094,0.9934611320495605,44.27083333333333
124.cc,36.803645770795306,42.70557029177719,66.31544151320539,81.61075893493667,1963,93.30906271934509,0.9960975646972656,41.55844155844156
125.cc,37.600434424124195,41.54838709677419,58.522534650515524,77.17940086042483,2344,94.84754800796509,0.997676432132721,36.507936507936506
126.cc,47.62457968871507,53.349875930521094,72.01432591928808,85.1135469310509,1655,95.88082432746887,0.9992625117301941,46.198830409356724
127.cc,39.85952588128851,43.72670807453416,62.92290775372873,81.85115292474245,2385,94.13991570472717,0.9945510029792786,32.8125
128.cc,55.44897738897255,54.28571428571429,69.53696763088315,85.75849717524505,1863,95.2329933643341,0.9963042736053467,37.628865979381445
129.cc,35.404808149107254,32.90267011197244,57.321133307378524,80.80141211973188,3760,94.52608227729797,0.9982110857963562,35.24590163934426
13.cc,14.041530021597353,21.769772905246672,40.284727835241,56.99497447428528,13840,84.3566358089447,0.9851176142692566,27.615780445969122
130.cc,50.638920012971404,46.73913043478261,74.5140329278789,83.83289067701182,2012,95.98603844642639,0.9989970922470093,51.829268292682926
131.cc,56.327614264535114,57.637795275590555,67.59951147227797,79.30839565840226,1386,94.24238204956055,0.9966111183166504,44.89795918367347
132.cc,48.57130538123028,48.312611012433386,61.7454861778585,75.16900426994222,1619,94.36851143836975,0.9964666366577148,34.54545454545455
133.cc,43.14203448285766,50.8029197080292,67.41181144971007,83.55533946162132,1897,93.28625798225403,0.9977156519889832,32.98429319371728
134.cc,36.6539315292964,35.6621480709072,58.93291085426574,78.04258429865378,3467,92.28875041007996,0.9971925020217896,31.868131868131865
135.cc,55.43702519212118,64.62264150943395,68.72724108481161,73.5978563884149,955,94.03032064437866,0.9941713809967041,49.193548387096776
136.cc,46.1604719324153,57.556935817805375,63.63935941148727,68.35443374125192,1189,93.4872031211853,0.9945328235626221,48.4375
137.cc,39.70967977374914,51.973684210526315,60.84669376977695,66.88963514456532,1648,92.96769499778748,0.9937235116958618,43.15068493150685
138.cc,40.20039644597982,50.83333333333333,58.92888023385886,67.48263015038113,1920,92.73160099983215,0.9964074492454529,39.490445859872615
139.cc,30.785332201137688,50.349650349650354,53.747232912370976,56.362852740049455,2590,92.47170686721802,0.994329035282135,38.21656050955414
14.cc,8.313577476115885,19.21875,27.17940034341032,25.197121966843465,13122,89.66478705406189,0.9943089485168457,22.86282306163022
140.cc,56.489247945852675,51.49700598802396,69.49605313919753,80.84474186325696,1769,93.15534234046936,0.9955000877380371,48.08743169398907
141.cc,56.702116597985196,59.30807248764415,67.68873292308139,81.07260635555275,1369,95.29247879981995,0.9961097836494446,40.97222222222222
142.cc,46.606148744994584,47.82608695652174,55.17147887120456,77.72468444434037,1607,94.11678910255432,0.9963728189468384,35.714285714285715
143.cc,44.40484322617886,48.47512038523274,57.54393416723711,69.03001227699235,1591,94.92338299751282,0.9990636706352234,39.189189189189186
144.cc,28.6733386515432,38.33943833943834,58.54940988495447,67.9236424695443,2746,93.63334774971008,0.993962287902832,39.02439024390244
145.cc,48.22727586225294,57.22801788375559,76.25832318595673,85.76421176056677,1822,95.7190990447998,0.9988081455230713,48.67724867724868
